Acessos;CorFolhaApical;CorPeciolo;CorFolhaDesenv;CorNerv;CorCortexCaule;CorExternaCaule;CorEpidCaule;CorRamosTerm;CorExternaRzs;CorCortexRzs;CorPolpaRzs;NLobulos;Pubescencia;FormaLobuloCentral;PosicaoPeciolo;Sinuosidade;ComprEstip;HabCrescCaule;TipoPlan;MargEstip;HabRamif;NiveisRam;ProemCicatrizesFolhas;FormaRzs;TxtEpidermeRzs;PresPedunculoRzs;PosicaoRzs;Flowering;DestqPelicRz;DestqCortexRz;ConstrRzs;ComprFilotaxia;AnguloRamif;PorteMod;HCNMod;RetFoliar;ComprLobulo;LargLobulo;RelComprLar;ComprPeciolo;EspEntreCasca;ComprMedRzs;DiamMedRzs;NRPl;AltPl;PPA;FRY;FRYC;FRYNC;IndColh;DMCsg
149;BGM-0053;5;7;5;3;2;5;4;5;3;3;1;5;1;2;3;3;5;1;3;1;2;0;NA;2;NA;0;1;1;3;3;2;3;NA;1;NA;3;16.36;5.02;3.261975867;23.16;2.32;30.33333333;93.63333333;3.333333333;2.106;22.652;15.628;11.826;3.47;39.36;32.875
150;BGM-0054;7;5;3;3;2;5;4;5;4;4;2;3;0;5;3;7;5;1;2;1;2;0;1;1;7;5;3;1;4;5;3;5;120;5;8;2.571428571;14.68;4.66;3.159751125;23.52;3.813333333;20.625;67.3325;4.166666667;1.850909091;22.66818182;10.96333333;4.694545455;7.263636364;32.94454545;32.73545455
152;BGM-0057;5;3;5;3;2;7;1;3;1;2;1;5;0;2;3;3;5;1;3;1;3;0;NA;2;3;5;3;0;4;7;2;5;90;3;NA;NA;16.54;5.56;2.974354487;26;NA;NA;NA;NA;2.595;33.34333333;29.65833333;25.985;2.255;44.245;35.69833333
153;BGM-0058;9;9;7;3;3;7;2;7;1;4;2;5;0;4;7;3;5;1;1;1;3;1;2;2;3;5;3;0;3;3;3;5;90;3;8;2;21.74;3.44;6.327951681;30.64;1.96;32.55555555;66.14888889;4.222222222;2.569090909;33.37818182;38.54363636;32.528;6.1;50.97818182;32.97166667
154;BGM-0060;5;5;5;5;3;6;2;7;2;2;3;3;1;5;3;3;5;1;2;1;3;2;1;1;3;5;3;0;4;3;2;3;100;5;8;1.125;11.8;2.96;4.127664847;16.94;1.87;15.29166667;36.93083333;2.041666667;2.039090909;12.25454545;12.41818182;9.572222222;3.911111111;37.39363636;35.85555556
165;BGM-0075;7;5;5;5;2;7;3;3;3;1;1;5;1;6;3;3;5;2;1;1;2;3;1;2;7;0;2;0;3;3;1;5;100;5;4;1.333333333;10.62;3.4;3.123529412;12.72;3.353333333;27.33333333;44.03;4.666666667;1.878888889;28.29444444;18.12333333;12.9525;5.9025;40.44222222;33.69777778
179;BGM-0094;3;3;5;3;2;9;2;3;4;2;4;7;1;5;1;7;5;1;2;2;3;2;2;1;7;5;3;1;3;3;1;5;100;3;4;1.6;18.08;6.24;2.896143426;35.68;2.816666667;16.33333333;79.53;2.666666667;1.746666667;13.36444444;12.56777778;11.10875;2.54375;47.54333333;31.87375
180;BGM-0096;5;5;5;3;3;7;3;5;3;1;1;5;1;9;3;3;5;1;4;1;1;1;2;2;NA;5;3;0;3;3;1;3;0;3;8;3;18.7;4.02;4.669242875;31.16;3.61;30;68.88666667;4.166666667;2.166666667;29.96666667;19.855;13.0975;6.759166667;39.55416667;32.51083333
184;BGM-0103;5;1;5;3;3;9;3;3;4;1;1;5;1;5;3;3;5;1;3;1;2;1;NA;1;7;5;3;0;4;3;3;5;100;5;NA;NA;21.52;6.74;3.193783978;30.6;NA;NA;NA;NA;2.648333333;36.475;36.79666667;32.055;4.57;50.43;37.73333333
186;BGM-0106;3;1;5;3;3;6;3;3;3;2;1;5;1;5;3;7;5;1;1;1;2;3;2;2;7;5;3;1;4;3;1;5;90;3;8;2.2;18.88;5.82;3.24847518;28.8;2.78;25.55555556;61.71777778;5.222222222;1.82;15.106;23.686;16.06111111;7.148888889;63.899;36.815
190;BGM-0113-RcxRos;7;5;3;3;2;9;4;5;4;3;1;3;0;5;5;7;3;2;2;2;2;2;1;3;7;5;NA;1;NA;7;1;3;90;3;8;1;11.02;2.96;3.790705373;11.64;1.85;26.66666667;73.16666667;5;1.835;30.925;21.955;14.13;7.825;34.31;30.725
204;BGM-0131;5;7;5;9;2;9;3;7;3;1;3;3;1;5;3;7;5;1;1;1;2;3;2;2;7;3;2;0;4;3;2;5;80;3;8;1.428571429;12.08;1.8;6.861912133;17.06;3.09;17;59.36666667;2;1.709;10.803;4.793;2.997777778;2.254444444;26.845;30.24375
205;BGM-0132;7;9;9;9;3;9;3;7;4;2;3;3;0;5;7;7;5;1;1;1;2;2;2;1;7;5;3;0;4;3;1;5;80;3;8;1.571428571;17.12;2.94;5.864316747;21.88;2.593333333;19.05833333;57.12166667;4.408333333;2.036428571;16.26357143;16.55571429;11.03230769;5.853846154;49.54214286;29.73071429
214;BGM-0144;9;2;5;3;3;9;2;3;4;1;1;5;0;5;3;3;5;1;1;2;3;1;1;2;7;3;3;0;3;3;2;5;90;1;6;1.4;14.56;4.36;3.336568053;21.72;1.34;24.66666666;53.78666667;5.644444444;2.230833333;29.41416667;20.42333333;15.64909091;3.838571429;39.81583333;39.5825
218;BGM-0149;9;3;5;3;2;5;4;3;4;4;2;5;0;5;3;3;3;1;3;2;2;1;NA;2;7;5;3;1;3;7;1;5;90;1;NA;NA;14.24;3.76;3.78464657;21.18;NA;NA;NA;NA;2.582857143;42.70428571;39.58857143;34.64857143;6.256666667;47.20285714;35.84857143
226;BGM-0153;9;5;5;3;3;6;2;5;4;1;1;5;0;5;3;7;5;1;1;1;2;2;NA;2;7;5;3;1;4;7;1;5;90;5;NA;NA;8.06;2;4.049075587;11.92;NA;NA;NA;NA;2.333333333;26.67;9.34;6.273333333;1.245;24.18166667;41
229;BGM-0157;7;5;5;3;3;7;1;3;4;1;1;5;0;5;3;3;3;1;1;1;1;0;2;3;7;5;2;0;4;3;2;3;0;1;8;2;16.3;5.44;2.999664564;24.18;2.336666667;21.70833333;63.17666667;4.583333333;2.065;20.84583333;19.84583333;14.18636364;6.086;46.25583333;34.2975
230;BGM-0158;7;7;5;3;3;7;1;5;3;1;1;5;0;5;3;3;5;1;1;1;3;1;2;2;7;5;2;1;4;7;1;3;60;3;8;1.4;17.3;4.54;3.815089172;23.36;3.113333333;17.88888889;56.12;2.777777778;2.09875;15.5125;4.32375;1.767142857;2.241666667;29.5825;30.984
246;BGM-0175;5;5;5;3;2;6;3;3;2;1;1;7;1;5;3;3;5;1;2;1;1;2;NA;2;7;3;3;0;3;7;NA;5;100;3;NA;NA;17.16;4.96;3.469235916;31.56;NA;NA;NA;NA;2.398333333;30.50333333;24.03333333;17.85166667;13.02;41.77833333;35.014
251;BGM-0182;7;7;5;9;3;6;3;7;4;1;1;3;1;5;3;3;5;1;4;1;1;0;2;2;7;0;2;0;3;3;1;7;0;5;2;1;17.24;5.24;3.292146089;29.36;0.926666667;38;53.77;7.333333333;2.65;27.31875;28.375;24.52;2.81;49.46;34.9225
252;BGM-0183;7;7;3;5;2;7;1;5;3;1;1;5;1;5;3;3;5;1;1;1;1;3;1;4;7;0;3;0;4;7;1;3;0;3;4;2;22.12;5.36;4.133408221;29.5;3.176666667;36.66666667;59.66333333;4.666666667;2.26125;33.0875;24.8425;22.21;4.46;40.3;30.55625
263;BGM-0202;5;3;5;3;3;5;2;5;4;1;1;3;0;5;3;3;5;1;2;1;1;0;1;1;7;0;3;0;3;3;1;5;0;3;4;1.666666667;12.22;4.12;2.962977869;19.7;2.79;24.20833333;61.19;6.458333333;1.964166667;16.065;22.25083333;15.46272727;7.635454545;56.66916667;30.41333333
