NAME;CorFolhaApical;CorPeciolo;CorFolhaDesenv;CorNerv;CorCortexCaule;CorExternaCaule;CorEpidCaule;CorRamosTerm;CorExternaRzs;CorCortexRzs;CorPolpaRzs;NLobulos;Pubescencia;FormaLobuloCentral;PosicaoPeciolo;Sinuosidade;ComprEstip;HabCrescCaule;TipoPlan;MargEstip;HabRamif;NiveisRam;ProemCicatrizesFolhas;FormaRzs;TxtEpidermeRzs;PresPedunculoRzs;PosicaoRzs;Flowering;DestqPelicRz;DestqCortexRz;ConstrRzs;ComprFilotaxia;AnguloRamif;PorteMod;HCNMod;RetFoliar;ComprLobulo;LargLobulo;RelComprLar;ComprPeciolo;EspEntreCasca;ComprMedRzs;DiamMedRzs;NRPl;AltPl;PPA;FRY;FRYC;FRYNC;IndColh;DMCsg
BGM-0174;BGM-0174;3;7;5;5;3;6;2;5;3;1;1;5;1;5;3;3;5;1;1;1;1;2;2;2;7;5;3;0;3;3;3;5;90;3;3;1.714285714;10.16;3.12;3.269003456;15.68;2.54;22.66666667;67.79666667;2.333333333;2.015;25.271;9.458;6.515555556;3.776666667;23.768;33.59555556
BGM-0177;BGM-0177;7;9;5;7;3;7;2;5;3;1;1;5;1;5;3;3;3;1;3;1;2;2;2;4;7;0;3;0;3;3;1;3;100;5;6;1;14.9;4.18;3.565009865;21.98;2.846666667;31.33333333;70.31666667;3.333333333;2.3725;31.52;18.845;15.50571429;5;39.7625;37.18125
BGM-0182;BGM-0182;7;7;5;9;3;6;3;7;4;1;1;3;1;5;3;3;5;1;4;1;1;0;2;2;7;0;2;0;3;3;1;7;0;5;2;1;17.24;5.24;3.292146089;29.36;0.926666667;38;53.77;7.333333333;2.65;27.31875;28.375;24.52;2.81;49.46;34.9225
BGM-0183;BGM-0183;7;7;3;5;2;7;1;5;3;1;1;5;1;5;3;3;5;1;1;1;1;3;1;4;7;0;3;0;4;7;1;3;0;3;4;2;22.12;5.36;4.133408221;29.5;3.176666667;36.66666667;59.66333333;4.666666667;2.26125;33.0875;24.8425;22.21;4.46;40.3;30.55625
BGM-0207;BGM-0207;7;1;3;3;3;6;2;3;4;4;1;5;1;4;3;3;5;1;3;1;2;2;2;2;7;3;3;0;4;7;1;7;80;1;4;1;16.72;4.6;3.638339921;22.48;2.06;20.33333333;51.19;5;2.513333333;33.78533333;19.24066667;16.23857143;4.107;35.00866667;31.67266667
BGM-0232;BGM-0232;7;9;5;9;2;5;4;7;4;2;1;5;1;2;3;7;5;1;1;1;2;1;NA;2;7;0;3;0;3;3;1;5;100;1;NA;NA;9.62;3.42;2.828188907;10.84;NA;NA;NA;NA;3.07;54.5;26.48;22.72666667;3.37;34.01;38.39333333
BGM-0239;BGM-0239;5;3;5;3;3;9;2;3;4;1;2;5;0;4;7;7;5;1;1;2;2;3;1;2;7;5;2;0;3;3;2;5;110;5;8;1.125;13.58;1.44;9.660239956;17.86;2.106666667;25.875;54.84333333;2.375;1.875714286;22.29214286;9.815;7.098333333;2.273636364;30.185;33.47583333
BGM-0248;BGM-0248;7;1;5;3;2;8;4;3;4;3;2;3;1;5;3;7;5;1;1;1;3;1;1;2;7;5;3;0;3;3;1;7;90;3;4;1;11.64;3.84;3.066485059;17.82;2.306666667;27.44444444;52.17444444;5;2.116666667;16.09333333;12.28666667;7.874545455;6.76;41.215;33.07272727
BGM-0254;BGM-0254;5;5;3;3;2;9;3;5;4;3;1;3;1;4;3;3;5;1;2;1;3;1;2;1;7;5;3;1;3;3;2;5;90;5;4;1.833333333;16.26;3.7;4.392812593;21.5;26.09666667;23.66666667;52.76444444;6.111111111;2.1375;17.61416667;20.12416667;14.99818182;8.197142857;50.07;36.75333333
BGM-0257;BGM-0257;5;5;5;3;2;8;3;3;2;2;3;3;1;5;3;7;5;1;1;1;3;3;1;3;7;3;3;1;4;3;3;5;90;3;8;1;15.12;2.74;5.563888765;16.78;1.946666667;24.46083333;48.59333333;3.75;1.79;13.38058824;13.03176471;8.333125;4.2525;44.86411765;35.57294118
BGM-0267;BGM-0267;7;3;5;3;1;4;2;3;1;1;3;7;0;9;3;7;5;1;2;1;2;2;2;2;7;3;2;1;3;3;1;5;90;3;8;1;22;3.52;6.297044131;25.12;1.826666667;21.66666667;60.67;2;1.8375;10.96;7.0075;1.003333333;5.133333333;37.7075;33.205
BGM-0273;BGM-0273;7;2;5;3;3;5;2;3;4;2;1;3;0;5;3;3;5;1;3;1;2;1;NA;3;7;5;3;1;4;3;1;5;100;5;4;NA;12.08;3.42;3.533515853;13.18;NA;NA;NA;NA;2.796666667;44.76666667;37.50333333;34.00166667;4.86;44.125;38.93166667
BGM-0276;BGM-0276;7;2;3;3;3;9;3;3;4;1;1;5;1;5;3;3;5;1;1;1;2;2;2;3;7;3;2;1;3;5;1;5;110;2;6;1;16.36;4.56;3.592107661;17.5;1.023333333;28;56.22;3.333333333;2.612;32.632;29.878;28.3525;0.59;48.132;39.72
BGM-0277;BGM-0277;3;5;5;3;2;7;2;5;3;1;1;5;1;2;3;7;5;1;1;1;2;0;1;2;7;5;3;0;4;3;2;5;90;5;8;2;18.34;6.66;2.754196999;30.62;3.1;25.75;64.76;4.458333333;1.557692308;14.17538462;18.52846154;13.39166667;5.360833333;58.87538462;29.51384615
BGM-0303;BGM-0303;7;9;5;7;3;9;2;5;4;1;1;5;1;5;7;3;5;1;1;1;1;1;2;2;NA;0;3;0;3;3;3;5;0;3;8;2;19.22;4.84;3.974081475;31.68;1.953333333;37.66666667;72.18666667;7;2.465;32.19428571;36.84;32.64;5.743333333;52.96285714;33.07
BGM-0307;BGM-0307;7;5;3;7;2;7;1;3;4;4;1;5;0;2;3;7;5;1;1;1;2;3;2;2;7;3;3;0;3;3;1;7;90;5;4;1;12.96;3.76;3.455996903;18.06;1.496666667;23.44444444;46.85444445;4.111111111;2.397272727;24.76181818;12.77909091;8.44;3.864285714;32.25454545;35.44545455
BGM-0320;BGM-0320;7;2;5;5;3;9;4;5;4;1;1;5;1;5;5;3;3;1;2;1;3;3;1;1;7;5;3;0;3;5;1;5;110;4;NA;2;16.04;4.44;3.612626263;19.8;2.186666667;35.66666667;69.24;6.333333333;2.52;30.55;43.615;18.67;6.4;57.935;37.03
BGM-0352;BGM-0352;5;7;5;5;1;7;4;7;3;1;1;5;1;5;3;7;5;1;1;1;3;2;2;1;7;5;3;1;4;3;2;5;90;5;3;1.428571429;14.76;3.66;4.030571716;22.02;1.596666667;23;59.11333333;5.125;1.727692308;12.48923077;23.16769231;17.49916667;6.390833333;63.47307692;26.43615385
