Acessos;CorFolhaApical;CorPeciolo;CorFolhaDesenv;CorNerv;CorCortexCaule;CorExternaCaule;CorEpidCaule;CorRamosTerm;CorExternaRzs;CorCortexRzs;CorPolpaRzs;NLobulos;Pubescencia;FormaLobuloCentral;PosicaoPeciolo;Sinuosidade;ComprEstip;HabCrescCaule;TipoPlan;MargEstip;HabRamif;NiveisRam;ProemCicatrizesFolhas;FormaRzs;TxtEpidermeRzs;PresPedunculoRzs;PosicaoRzs;Flowering;DestqPelicRz;DestqCortexRz;ConstrRzs;ComprFilotaxia;AnguloRamif;PorteMod;HCNMod;RetFoliar;ComprLobulo;LargLobulo;RelComprLar;ComprPeciolo;EspEntreCasca;ComprMedRzs;DiamMedRzs;NRPl;AltPl;PPA;FRY;FRYC;FRYNC;IndColh;DMCsg
309;BGM-0270;9;7;5;5;3;6;3;5;4;1;1;5;0;5;3;7;5;1;2;1;3;2;2;2;7;5;3;0;3;3;1;5;110;3;4;1.5;11.22;3.56;3.161530049;14.8;2.016666667;24.20833333;49.12;4.125;2.246153846;17.95076923;12.60230769;9.409090909;3.213;37.57615385;36.46692308
318;BGM-0282;5;7;5;5;3;6;2;5;4;1;2;5;1;9;3;7;5;1;4;1;1;0;1;3;7;5;3;0;3;3;1;5;0;3;6;1.5;15.48;2.74;5.737767517;19.12;3.03;25.66666667;67.45333333;3.666666667;2.011428571;13.98571429;9.751428571;5.851666667;3.211666667;43.71571429;34
319;BGM-0283;5;7;5;5;2;6;2;7;3;3;1;5;1;5;3;7;5;1;1;1;2;0;2;2;7;5;3;0;3;3;2;5;90;5;8;1.857142857;17.34;5.9;2.93914475;33.84;2.91;23.79166667;63.53;4.208333333;1.726153846;24.36615385;19.10692308;13.30916667;6.188333333;44.52230769;33.20307692
325;BGM-0289;5;5;5;3;3;6;3;5;2;1;1;5;1;4;3;3;5;1;1;1;2;1;2;2;3;5;3;0;4;3;3;5;90;3;4;1.857142857;12.22;2.06;5.972629843;14.42;2.186666667;24.625;60.9525;4.333333333;1.844;20.044;23.97;15.78285714;8.107857143;54.32;34.61733333
330;BGM-0298;7;7;5;5;3;9;2;5;1;1;1;5;0;5;3;3;5;1;2;1;1;1;2;2;3;5;3;0;3;3;2;5;90;5;8;2.142857143;16.8;3.78;4.452591887;24.5;2.393333333;27.08333333;50.48916667;3.5;1.91;27.66142857;18.91714286;15.094;4.766875;38.63047619;33.289
352;BGM-0337;7;5;5;3;3;9;2;5;4;1;1;5;1;5;3;3;5;1;1;1;1;0;2;2;7;5;3;0;3;3;2;5;0;1;NA;2;15.02;4.44;3.412052543;27.72;1.666666667;29.66666667;40.32333333;6.333333333;2.183125;26.11533333;42.28733333;40.2;5.401;62.25733333;35.85866667
362;BGM-0357;7;7;5;5;2;5;2;5;4;1;1;3;1;2;3;3;3;2;1;1;2;3;2;2;7;3;2;1;3;3;2;3;100;5;3;1.1875;17.52;5.84;3.001028433;20.92;2.46;30.16666667;74.71666667;3.229166667;1.655625;10.52;16.3425;13.03384615;3.905384615;57.265625;31.91375
363;BGM-0358;5;5;5;5;2;3;4;5;4;1;1;5;1;5;3;7;5;1;1;1;3;2;2;3;7;5;3;0;3;3;1;5;90;5;8;2;13.1;3.66;3.57813851;14.78;2.346666667;39.725;68.32666667;3.208333333;1.68;21.79083333;13.84666667;10.07545455;3.989090909;37.7975;35.54545455
365;BGM-0360;7;3;5;3;2;8;2;7;2;1;1;3;0;2;7;3;3;1;3;2;2;1;2;3;7;3;2;0;3;7;3;5;80;3;6;2.428571429;13.98;4.42;3.170663441;28.3;2.596666667;27.5;65.25888889;5.5;2.11;30.8125;23.96375;15.116;9.767272727;41.95;35.734375
371;BGM-0368;5;3;5;3;2;9;4;3;4;3;2;5;1;5;3;3;5;1;1;1;2;0;2;2;7;5;3;0;4;3;2;5;80;3;2;1.75;19.88;1.84;10.8533982;19.76;1.91;21.4375;58.46666667;6.791666667;1.955714286;14.77428571;19.49857143;11.93692308;7.383076923;53.22928571;33.08285714
