Acessos;CorFolhaApical;CorPeciolo;CorFolhaDesenv;CorNerv;CorCortexCaule;CorExternaCaule;CorEpidCaule;CorRamosTerm;CorExternaRzs;CorCortexRzs;CorPolpaRzs;NLobulos;Pubescencia;FormaLobuloCentral;PosicaoPeciolo;Sinuosidade;ComprEstip;HabCrescCaule;TipoPlan;MargEstip;HabRamif;NiveisRam;ProemCicatrizesFolhas;FormaRzs;TxtEpidermeRzs;PresPedunculoRzs;PosicaoRzs;Flowering;DestqPelicRz;DestqCortexRz;ConstrRzs;ComprFilotaxia;AnguloRamif;ComprLobulo;LargLobulo;RelComprLar;ComprPeciolo;EspEntreCasca;ComprMedRzs;DiamMedRzs;HCNPic;Vigor;RF;NMa;NR;PA;DRY;DMCsg;PTR;PPA;IC;AP
290;BGM-0277;3;5;5;3;2;7;2;5;3;1;1;5;1;2;3;7;5;1;1;1;2;0;1;2;7;5;3;0;4;3;2;5;90;18.34;6.66;2.754196999;30.62;3.1;25.75;64.76;7.97510675976724;1.94726699282352;2.31893246294111;8.96662995205844;4.2996715235351;3.61147304584112;5.30245416756671;30.9025028666989;18.7323063382038;16.1997049524023;56.2103156948985;1.60527836821116
292;BGM-0280;7;7;5;3;3;8;3;5;4;1;1;5;0;5;3;7;5;1;1;1;2;1;2;2;7;5;3;0;4;3;1;5;100;11.44;3.6;3.167489131;16.1;2.523333333;26;47.67;4.44191754367162;2.06925494828223;1.9923295965696;9.18074662427785;4.03559442651072;2.92516052993627;6.3949183981303;35.8684655907893;18.2860377766475;19.9384405852124;46.9620454851134;2.24860230846818
295;BGM-0283;5;7;5;5;2;6;2;7;3;3;1;5;1;5;3;7;5;1;1;1;2;0;2;2;7;5;3;0;3;3;2;5;90;17.34;5.9;2.93914475;33.84;2.91;23.79166667;63.53;7.97510675976724;2.12590117973873;2.04300881832463;8.96662995205844;3.86959272150874;3.2949176225441;5.63011840682151;34.2783877720506;19.0908412687997;24.8041778119951;43.5612348266655;1.76398537585727
301;BGM-0289;5;5;5;3;3;6;3;5;2;1;1;5;1;4;3;3;5;1;1;1;2;1;2;2;3;5;3;0;4;3;3;5;90;12.22;2.06;5.972629843;14.42;2.186666667;24.625;60.9525;3.56855205723138;2.36388908679319;2.24515781402329;8.96662995205844;4.46214573763395;3.05451121262422;6.32911324156024;35.3347408117222;21.9699245386735;21.6133028602764;49.9411391299984;1.89287466207696
303;BGM-0294;5;1;5;3;2;3;4;3;4;1;1;3;0;5;3;3;5;1;2;1;3;2;2;2;7;5;2;0;4;3;2;5;90;14.34;3.44;4.189697232;19.44;1.65;20.29166667;49.03333333;3.52508755488252;2.13556196776597;1.70852460440782;8.96662995205844;3.352344626702;3.73150053557762;4.75075673132429;34.0031020315232;11.4033193861902;14.0219800761673;43.1436475087813;1.65069945880202
304;BGM-0295;5;1;5;9;2;8;3;3;4;1;1;3;0;5;3;3;5;1;1;1;1;0;2;2;7;0;3;1;4;3;2;7;0;12.12;2.9;4.199019969;16.48;2.35665841452208;26.374466558463;58.7035885462208;6.18753892481935;2.06925494828223;2.05804315090305;8.65067323746912;4.03559442651072;3.47970860478025;4.71365410792537;33.7814876273518;13.4908309192187;20.9212393852813;33.6421861547522;1.78245518380456
313;BGM-0312;5;3;5;3;2;8;3;5;4;3;2;5;0;5;3;3;5;1;3;2;2;2;2;2;7;0;3;1;4;3;2;5;90;14.16;4.48;3.163987142;16.82;2.35665841452208;26.374466558463;58.7035885462208;6.18753892481935;2.06925494828223;2.05804315090305;9.15612859447699;4.03559442651072;3.39368201120258;5.2710710860365;32.5651391945317;14.1309088908332;24.3955637501386;32.9850864233946;1.95526216609107
314;BGM-0314;5;5;5;5;2;9;3;5;4;1;2;5;1;5;3;7;5;1;1;1;1;0;2;2;7;5;3;0;3;3;2;5;0;17.46;5.28;3.307482983;27.84;2.386666667;28.375;55.305;7.29682365544407;1.98368955307498;2.22171142582858;8.96662995205844;4.21002096401178;2.68590471624007;6.49456694827902;38.2656725376006;20.80167979538;27.8699462435839;40.3792747605908;2.1374630348512
325;BGM-0331;7;5;5;3;2;7;1;5;1;1;1;5;1;5;3;3;5;1;3;1;2;1;2;2;3;3;3;0;3;7;2;5;70;14.14;4.1;3.449820295;23.68;2.35665841452208;26.374466558463;58.7035885462208;6.18753892481935;2.06925494828223;2.05804315090305;9.00504658135863;4.03559442651072;3.54196005663819;5.81994924473764;35.8632227468984;18.863768323136;22.4119938459053;47.4235663212034;2.00289994707886
327;BGM-0336;5;3;5;3;3;5;4;3;4;3;1;5;1;5;3;3;5;1;1;1;2;1;2;2;7;5;3;0;4;3;1;5;70;14.32;2.8;5.114219577;15.9;1.88;24.14583333;57.59333333;6.42769869937946;2.17378931993408;2.10718307596483;8.96662995205844;6.59961991417982;3.28245546278058;6.13828679640025;32.0107134306313;22.1410820411424;22.3176724824646;46.3213362045282;2.26221660811664
328;BGM-0337;7;5;5;3;3;9;2;5;4;1;1;5;1;5;3;3;5;1;1;1;1;0;2;2;7;5;3;0;3;3;2;5;0;15.02;4.44;3.412052543;27.72;1.666666667;29.66666667;40.32333333;6.18753892481935;2.1019955909823;2.05804315090305;9.06905409352304;4.39224746951222;2.75262111887899;7.99560271186782;36.5932363455227;30.4735985455719;20.6325743394441;57.0959048382631;2.10677336358223
332;BGM-0342;5;5;5;3;3;9;3;5;4;1;1;3;1;5;3;3;5;1;2;1;3;2;2;2;7;3;2;1;3;3;3;5;90;12.36;2.84;4.347891843;18.36;2.196666667;20.33333333;49.1475;8.06786069375194;2.02627081251449;1.76560893823576;8.96662995205844;4.36884045739659;3.47581558715251;5.78338790394146;32.1053664149728;13.3446875894174;18.5432740946958;38.1917766555348;1.96819698575244
339;BGM-0358;5;5;5;5;2;3;4;5;4;1;1;5;1;5;3;7;5;1;1;1;3;2;2;3;7;5;3;0;3;3;1;5;90;13.1;3.66;3.57813851;14.78;2.346666667;39.725;68.32666667;8.06786069375194;2.07300664653259;2.24892806745794;8.96662995205844;3.94831896208193;4.1493003833044;6.15652111096;36.3190842025442;15.8816037404102;22.8170468765163;38.721322890271;1.75944071037316
347;BGM-0368;5;3;5;3;2;9;4;3;4;3;2;5;1;5;3;3;5;1;1;1;2;0;2;2;7;5;3;0;4;3;2;5;80;19.88;1.84;10.8533982;19.76;1.91;21.4375;58.46666667;2.58415485171743;2.37208539055883;1.94955803464675;8.96662995205844;4.8729820757328;2.75579665226959;5.51152753277323;33.8832521572842;19.6653204896761;16.8206782135615;51.6832128351243;1.9665026736899
348;BGM-0369;5;5;5;3;3;9;3;3;4;3;1;5;1;5;3;7;5;1;2;1;2;1;2;2;7;5;3;0;4;3;2;5;100;15.4;5.36;2.87972565;23.54;2.906666667;29.5;63.3275;4.54295299357094;2.28276829710122;1.85758348644126;8.96662995205844;4.12368922953576;3.78249376043728;6.87480192024586;34.7973091219362;23.1133258450456;20.5278378242226;50.54095906482;2.11410214207626
