Acessos;CorFolhaApical;CorPeciolo;CorFolhaDesenv;CorNerv;CorCortexCaule;CorExternaCaule;CorEpidCaule;CorRamosTerm;CorExternaRzs;CorCortexRzs;CorPolpaRzs;NLobulos;Pubescencia;FormaLobuloCentral;PosicaoPeciolo;Sinuosidade;ComprEstip;HabCrescCaule;TipoPlan;MargEstip;HabRamif;NiveisRam;ProemCicatrizesFolhas;FormaRzs;TxtEpidermeRzs;PresPedunculoRzs;PosicaoRzs;Flowering;DestqPelicRz;DestqCortexRz;ConstrRzs;ComprFilotaxia;AnguloRamif;ComprLobulo;LargLobulo;RelComprLar;ComprPeciolo;EspEntreCasca;ComprMedRzs;DiamMedRzs;HCNPic;NR;PA;DRY;DMCsg;PTR;PPA;IC;AP
510;BGM-0618;3;7;5;3;3;7;1;3;1;1;1;5;1;2;3;7;5;1;2;1;2;1;1;3;3;3;3;0;4;3;3;5;90;12.64;5.14;2.461758046;23.94;2.1;30.16666667;67.5725;8.10082140844482;3.63864299212191;3.56139305100253;5.76731916645058;36.1369752901508;16.7207637875221;22.7378205081429;40.4454532867654;1.71618474495541
522;BGM-0639;3;3;5;3;3;7;1;3;1;1;1;5;1;2;3;3;5;1;2;1;2;1;2;3;3;5;3;0;4;3;3;5;80;10.38;4.92;2.113060524;20.08;3.833333333;25.77777778;56.72111111;8.000158413501;3.44814138358477;2.85206616961312;6.08845025284048;35.7804792595732;17.6172509269319;19.2954345430854;44.4174941136465;1.70811489826105
535;BGM-0655;5;1;5;3;2;8;1;3;2;2;1;7;1;5;3;7;5;1;2;1;1;0;2;3;7;5;2;0;4;3;1;5;0;15.08;4.46;3.380726;22.22;1.856666667;31.11111111;52.79333333;5.28161220943229;3.27443764310343;3.22430683775521;5.33340993060395;35.2500945845725;15.9084950584741;22.4451582459823;39.6532040440277;1.65500663134251
539;BGM-0660;3;1;5;3;2;3;3;3;4;1;2;5;0;5;3;7;5;1;2;1;2;2;2;3;7;5;3;1;4;3;3;5;110;17.44;3.74;4.709911423;24.04;2.95;19.91666667;60.695;8.14115154264673;3.51855132958858;4.37195532695769;4.78878946529417;34.8545318932929;13.9960779092667;19.5152208437619;37.5830528146844;2.02926143930905
540;BGM-0661;5;5;5;3;3;9;3;5;4;1;2;5;1;5;3;3;5;1;2;1;3;2;2;2;7;5;3;0;3;3;2;5;100;13.62;3.68;3.701957397;20.62;2.82;35.29166667;73.92583333;8.14115154264673;3.84349975778627;3.90394127323731;6.42126957900868;36.5963217891808;22.1756611432641;25.0559744206724;44.4544053668907;1.88353701681475
543;BGM-0665;5;2;5;3;3;9;3;3;4;1;1;5;1;5;7;7;5;1;1;1;2;0;2;2;7;5;3;0;4;3;3;5;90;11.84;3.06;3.877223851;13.92;2.27;26.83333333;70.90416667;8.08668309917548;4.50677684357804;2.25920566625919;6.2117771253534;37.3239101887357;20.6771933060124;30.7164201732333;40.256165759806;2.28121019253114
545;BGM-0667;7;3;5;3;3;6;2;5;4;1;1;5;1;5;3;3;5;1;1;1;2;1;2;2;7;5;3;0;3;3;1;7;90;12.24;3.58;3.423938224;19.1;2.35665841452208;26.374466558463;58.7035885462208;6.18753892481935;4.03559442651072;3.78522917791703;4.80803432361512;32.5599356237419;14.626656683712;14.5454295049418;42.343556329493;1.80890027500395
549;BGM-0671;3;2;5;3;3;6;3;3;4;1;2;5;1;5;3;7;5;1;1;1;2;0;2;2;7;5;3;0;4;3;1;5;60;12.3;2.5;5.0000481;18.54;1.876666667;25;58.71416667;4.38160565119085;6.14681067530523;2.93711406471761;4.84805765150132;30.7905709520268;15.0703407767416;12.097528425559;56.9119739698682;1.63854781595325
558;BGM-0685;7;1;5;3;2;5;4;3;4;2;2;5;0;5;7;7;5;1;2;1;2;1;2;2;7;3;3;1;4;3;1;5;100;12.58;3.96;3.182520446;18;3.426666667;30.125;76.46166667;7.74097538337869;3.44400433723734;4.33692786180242;4.50418238909437;36.9566795490673;13.4334922542163;17.8950478860017;39.4284576806403;1.58614717051219
573;BGM-0715;5;1;5;3;3;6;2;3;4;2;1;5;1;5;3;3;5;1;1;1;2;2;2;2;7;3;2;1;3;3;2;5;120;10.82;3.46;3.124911665;16.5;2.89;21.415;54.79333333;7.70891412020444;2.50446153737915;3.96760016401116;4.49825420802031;35.6766976216658;11.867722998273;16.8093942909685;34.7828182386464;1.95468885372564
