Acessos;CorFolhaApical;CorPeciolo;CorFolhaDesenv;CorNerv;CorCortexCaule;CorExternaCaule;CorEpidCaule;CorRamosTerm;CorExternaRzs;CorCortexRzs;CorPolpaRzs;NLobulos;Pubescencia;FormaLobuloCentral;PosicaoPeciolo;Sinuosidade;ComprEstip;HabCrescCaule;TipoPlan;MargEstip;HabRamif;NiveisRam;ProemCicatrizesFolhas;FormaRzs;TxtEpidermeRzs;PresPedunculoRzs;PosicaoRzs;Flowering;DestqPelicRz;DestqCortexRz;ConstrRzs;ComprFilotaxia;AnguloRamif;ComprLobulo;LargLobulo;RelComprLar;ComprPeciolo;EspEntreCasca;ComprMedRzs;DiamMedRzs;HCNPic;Vigor;RF;NMa;NR;PA;DRY;DMCsg;PTR;PPA;IC;AP
370;BGM-0406;7;7;5;5;3;9;2;5;4;2;1;5;1;5;3;7;5;1;2;1;1;0;2;2;7;3;3;0;3;3;1;5;0;16.3;4.04;4.057041773;24.32;2.583333333;26.66666667;62.55666667;6.18753892481935;2.1019955909823;2.05804315090305;9.2273364581639;4.71363895141106;3.83525753539206;6.2452367300806;36.4511124465613;22.9732453675468;24.0223639671274;45.5553872575573;2.13056782271515
371;BGM-0407;7;7;5;3;3;3;4;5;3;1;1;5;0;5;1;7;5;1;2;1;2;1;2;2;7;5;3;1;4;3;3;5;110;12.86;2.82;4.579143055;21.42;1.96;23.58333333;61.9825;3.35472792772502;1.9289902573283;1.67363439003027;8.96662995205844;3.460412143744;4.05236823764599;5.0010050818293;31.0339245624001;13.7613748007868;12.176694742473;51.9542939977023;1.71056275457542
380;BGM-0420;5;2;5;3;3;9;3;5;3;1;1;5;1;5;3;7;5;1;1;1;2;2;2;2;7;0;3;0;4;3;2;5;80;17.46;5.5;3.1748557;22.48;2.196666667;27.91583333;65.605;4.31931774808064;2.07779237019031;2.15231912020953;9.5264738859733;3.79954799664349;3.01821472281891;6.77469560251997;35.6174783946593;19.1405905487578;18.3648701943503;46.9634314367175;2.00640800465932
389;BGM-0432;7;1;5;3;3;6;2;3;4;1;1;3;0;5;3;3;5;1;1;1;3;1;2;2;7;5;3;1;4;7;1;7;90;17.86;4.72;3.796659783;23.8;1.8;34;82.11;5.18706299390511;2.06925494828223;2.05804315090305;9.81881625376225;4.29190730621976;3.17044106937318;6.43517115962349;37.576785857558;23.7479014691495;26.7019186835195;46.936987298001;2.2027129524785
391;BGM-0435;5;5;5;3;3;9;3;3;4;2;1;5;1;5;3;7;5;1;2;1;1;0;2;1;7;5;3;0;4;3;2;3;0;14.36;3.8;3.791377369;22.96;2.026666667;29.22916667;74.32416667;7.96719769880812;1.95377501193795;2.05471080523478;8.96662995205844;3.88868355470119;3.2748429163231;6.98627705553241;35.040559980839;27.2458758053196;22.6979488588612;52.4031531495293;2.01168104946409
392;BGM-0436;7;5;3;5;2;6;2;5;4;4;1;5;1;5;3;3;5;1;3;1;3;3;1;2;7;3;3;1;3;5;2;7;80;16.84;4.88;3.460722464;21.3;1.69;37.44444444;46.72555555;6.03173762424985;2.06925494828223;1.76526362695514;9.24770454517393;3.77663791291514;2.72837973738049;5.6134502117456;34.8408476416384;16.5605313729055;16.6260632487148;47.9435718006713;2.04972553418704
393;BGM-0437;7;5;5;3;2;6;1;5;2;1;1;5;1;9;1;3;5;1;4;1;1;0;2;2;3;5;2;0;3;3;1;3;0;13.2;2.42;5.465272209;22.36;1.536666667;21.77777778;45.36888889;4.17364669045923;2.06925494828223;1.86735203753645;9.073844871757;4.52025909118073;3.4244487848898;3.40093424637475;33.5585261705453;7.33679355706307;9.83124130385304;45.9619297010769;1.65647643860133
400;BGM-0444;7;5;5;3;3;9;3;5;4;3;1;5;0;5;3;3;5;1;1;1;3;2;2;2;7;3;2;1;3;3;1;5;90;11.94;2.6;4.601608311;16.36;2.946666667;27;69.19166667;4.23040664747072;2.06925494828223;2.19648119160684;8.54318726508884;3.60629687303301;3.56193781388305;6.0762513397597;32.8384565919033;21.0773147018686;19.6281404714446;50.178343210594;2.02427307612861
401;BGM-0447;7;5;5;3;3;9;2;3;4;1;1;3;0;5;7;3;5;1;1;1;2;2;2;2;7;0;2;1;3;3;2;7;100;20;5.4;3.706941854;29.06;2.326666667;28.66666667;60;3.50977649097704;2.1019955909823;2.05804315090305;8.43343407210004;4.08030867825747;4.15551834777275;7.15169714060435;35.3697799417526;32.0999878147308;24.8095082682173;48.5165531188361;1.98230192624687
403;BGM-0449;7;5;5;3;2;6;2;3;3;1;1;5;0;5;3;3;5;1;1;1;1;0;1;3;7;0;2;0;3;3;2;5;0;11.98;2.84;4.235276695;17.54;2.423333333;28.79166667;58.97;3.65260842102489;2.06925494828223;1.98853019663031;9.94960889321659;4.2466364227167;2.36949521797718;6.29495826140141;34.9036975285973;20.6367851601458;17.1449623859565;52.7124981519648;2.09260228987918
