Acessos;CorFolhaApical;CorPeciolo;CorFolhaDesenv;CorNerv;CorCortexCaule;CorExternaCaule;CorEpidCaule;CorRamosTerm;CorExternaRzs;CorCortexRzs;CorPolpaRzs;NLobulos;Pubescencia;FormaLobuloCentral;PosicaoPeciolo;Sinuosidade;ComprEstip;HabCrescCaule;TipoPlan;MargEstip;HabRamif;NiveisRam;ProemCicatrizesFolhas;FormaRzs;TxtEpidermeRzs;PresPedunculoRzs;PosicaoRzs;Flowering;DestqPelicRz;DestqCortexRz;ConstrRzs;ComprFilotaxia;AnguloRamif;PorteMod;HCNMod;RetFoliar;ComprLobulo;LargLobulo;RelComprLar;ComprPeciolo;EspEntreCasca;ComprMedRzs;DiamMedRzs;NRPl;AltPl;PPA;FRY;FRYC;FRYNC;IndColh;DMCsg
BGM-1177;7;5;5;3;3;8;1;5;2;2;3;5;0;5;3;3;5;1;2;1;2;3;2;2;3;5;3;0;4;5;3;7;90;5;8;1.2;20.06;4.42;4.554414049;24.86;2.42;26.88888889;56.67666667;3.555555555;2.231666667;18.4;18.28916667;13.99454545;4.78;48.5075;34.97818182
BGM-1178;3;1;5;3;2;3;4;3;4;1;2;5;1;5;3;3;3;2;2;1;3;2;1;2;7;3;2;1;3;NA;2;7;80;3;8;1.666666667;22.88;4.78;4.793563652;27.44;2.666666667;27.11111111;55.68666667;4;2.096153846;25.34538462;17.48076923;13.24583333;5.28375;41.74;36.77615385
BGM-1179;3;1;5;3;2;3;4;3;4;1;2;5;0;5;3;3;5;2;2;1;2;2;NA;2;7;3;3;0;3;7;1;7;80;5;NA;NA;10.8;2.06;5.433355561;12.5;NA;NA;NA;NA;2.291666667;27.365;17.25666667;13.13833333;6.16;39.8;38.99
BGM-1180;5;7;5;5;3;9;3;5;4;3;1;5;0;5;3;7;5;1;2;1;2;2;2;2;7;5;3;0;3;3;1;7;100;3;4;1.714285714;13.24;4.92;2.693376905;20;2.203333333;29.70833333;50.85583333;4.166666667;2.253846154;17.65538462;14.09846154;10.1625;5.651666667;42.30615385;36.52230769
BGM-1183;7;3;5;3;3;6;4;3;3;2;2;5;1;5;3;3;5;1;2;1;2;2;NA;2;7;5;3;1;4;7;2;7;80;5;NA;NA;14.02;3.58;3.942751051;16.32;NA;NA;NA;NA;2.01;17.706;15.292;10.322;7.14;39.646;39.0675
BGM-1184;5;5;5;3;3;6;2;5;4;2;3;5;1;5;3;3;5;1;2;1;2;2;NA;NA;7;3;NA;0;3;3;1;7;90;5;NA;2;14.42;3.66;3.9523773;20.88;2.463333333;23.66666667;78.06666667;4;2.28625;28.31625;21.17;14.42;5.2;44.45125;31.77875
BGM-1185;5;5;5;3;2;3;4;7;4;1;1;5;1;5;3;3;5;1;1;1;3;3;2;3;7;5;3;1;3;7;2;7;70;3;8;1;19.76;5;3.959126941;26.52;1.936666667;26;54.98222222;4;2.300833333;20.31833333;13.70416667;8.842727273;4.787142857;39.15333333;36.354
BGM-1186;9;3;5;3;3;6;2;3;4;1;1;5;1;5;3;3;5;1;3;1;3;2;NA;2;7;5;3;1;4;3;1;7;100;5;NA;NA;12.34;4;3.08801697;17.72;NA;NA;NA;NA;2.865;48.135;38.16666667;35.46166667;5.03;42.34833333;40.88
BGM-1188;7;5;5;3;2;7;1;5;3;1;1;5;0;5;3;3;5;1;2;1;2;1;1;2;7;5;3;0;4;7;2;3;100;5;3;1.8;19.32;6.52;2.967450642;29.54;2.446666667;29.33333333;66.78666667;4.333333333;1.95;25.12;18.726;14.75555556;5.83625;43.159;35.217
BGM-1189;7;5;5;3;2;6;2;5;4;1;1;5;1;5;3;3;5;1;1;1;2;2;1;2;7;5;3;1;4;7;1;5;90;1;6;1;10.16;2.96;3.434261084;18.8;1.633333333;21.33333333;54.53333333;6.333333333;1.861818182;27.19454545;23.34636364;19.751;5.808333333;47.15818182;36.21545455
BGM-1190;9;3;5;3;3;6;1;5;3;4;2;5;1;2;3;3;5;1;3;1;2;2;1;2;7;5;3;1;4;7;2;7;100;5;8;1;15;6.22;2.412933934;17.14;2.053333333;23.44444445;56.25555556;3.333333333;2.106666667;17.82416667;16.70583333;14.09090909;3.717142857;48.15;32.58416667
BGM-1191;7;9;7;9;3;9;3;5;4;4;2;5;0;5;1;3;5;1;3;1;1;1;1;2;7;3;3;1;4;7;1;7;80;3;8;1;9.3;2.8;3.354560745;9.92;1.04;26;59.35666667;7.333333333;2.058;13.172;17.099;13.17666667;7.588;56.696;30.771
BGM-1193;5;3;5;3;3;6;2;3;4;1;1;7;1;5;3;3;5;1;1;1;3;2;1;2;7;5;2;1;4;3;2;7;90;3;8;1.333333333;19.14;5.36;3.571402756;29.98;2.44;31.66666667;53.9;3.444444445;2.358181818;25.24;14.81454545;9.681;3.926666667;36.31818182;39.46454545
BGM-1195;7;5;5;3;3;7;3;5;2;1;1;7;1;5;3;3;5;1;1;1;2;3;NA;2;3;5;3;0;4;3;1;7;90;5;NA;NA;10.58;3.06;3.503189426;11.6;NA;NA;NA;NA;2.666666667;26.81833333;11.73666667;6.47;2.005;38.155;35.014
BGM-1196;5;3;5;3;3;9;3;3;4;2;1;5;1;5;3;3;5;1;1;1;3;1;2;2;7;5;3;0;3;3;1;5;90;5;4;1.888888889;15.22;5.16;2.950094739;18.64;3.316666667;26.14666667;59.02916667;3.708333333;1.839285714;16.06714286;11.64;8.246923077;4.826153846;38.77642857;34.97692308
BGM-1198;3;2;5;3;3;9;3;3;4;2;2;5;1;5;1;3;5;1;1;1;2;3;1;1;7;5;2;1;3;5;1;5;80;5;8;1.4;14.26;4.1;3.483813571;21.86;4.023333333;23.25;62.71916667;2.875;1.949230769;21.98153846;13.27692308;9.693076923;5.658333333;38.25846154;31.92
BGM-1200;7;5;5;5;3;9;3;5;4;1;1;5;1;5;3;3;5;1;2;1;3;3;2;2;7;5;3;0;4;7;3;7;90;5;8;1;11.24;3.86;2.919920269;15.8;4.143333333;32.33333333;70.81333333;9.333333333;2.187857143;34.37357143;36.46357143;33.63923077;4.73;53.24;36.47642857
BGM-1202;5;3;5;5;3;8;3;5;4;1;1;5;1;5;3;3;5;1;2;1;2;2;2;2;7;3;3;1;4;7;3;5;90;5;8;1.4;14.38;3.8;3.78525641;21.18;2.933333333;25.66666667;49.80888889;3.777777778;2.2575;24.63666667;14.83833333;13.57363636;2.367142857;34.24083333;41.82333333
