Acessos,CorFolhaApical,CorPeciolo,CorFolhaDesenv,CorNerv,CorCortexCaule,CorExternaCaule,CorEpidCaule,CorRamosTerm,CorExternaRzs,CorCortexRzs,CorPolpaRzs,NLobulos,Pubescencia,FormaLobuloCentral,PosicaoPeciolo,Sinuosidade,ComprEstip,HabCrescCaule,TipoPlan,MargEstip,HabRamif,NiveisRam,ProemCicatrizesFolhas,FormaRzs,TxtEpidermeRzs,PresPedunculoRzs,PosicaoRzs,Flowering,DestqPelicRz,DestqCortexRz,ConstrRzs,ComprFilotaxia,AnguloRamif,ComprLobulo,LargLobulo,RelComprLar,ComprPeciolo,EspEntreCasca,ComprMedRzs,DiamMedRzs
BGM-2158,5,7,5,3,3,8,3,5,4,4,1,5,1,5,3,7,5,1,1,1,2,1,2,4,7,0,3,0,4,3,3,5,90,14.9,3.56,4.194525415,23.62,2.68,25.66666667,59.63
BGM-2159,7,5,5,3,3,7,1,5,1,3,1,5,1,2,3,7,5,1,1,1,3,0,2,2,3,0,3,0,4,NA,2,3,60,14.62,5.68,2.575597313,21.64,2.446666667,39.33333333,59.20666667
BGM-2160,5,2,5,3,2,9,3,3,4,4,1,3,1,2,3,3,5,1,2,1,3,2,1,2,7,3,2,1,3,3,1,3,90,15.64,4.56,3.449621842,25.04,2.31,30.11111111,56.64222222
BGM-2161,7,9,5,7,3,9,3,5,4,1,1,5,0,5,3,3,5,1,1,1,3,2,2,2,7,5,3,0,3,3,1,3,60,13.52,3.66,3.702338947,22.62,1.573333333,22.66666667,50.69555556
BGM-2162,9,7,5,7,3,6,2,5,4,1,2,5,0,4,3,3,5,1,1,1,1,0,1,2,7,3,3,1,3,3,1,3,0,17.06,2.88,5.947757936,19.58,2.013333333,23.22222222,55.34444444
BGM-2163,9,5,5,3,3,9,3,3,4,1,1,5,0,2,3,7,5,1,1,1,2,1,2,2,7,5,2,1,3,3,1,3,80,13.9,3.94,3.527832006,20.48,1.16,20.88888889,59.67333333
BGM-2164,9,7,5,5,3,6,2,5,4,1,2,5,0,4,3,7,5,1,1,1,2,0,1,2,7,3,3,1,3,3,1,7,90,15.12,2.82,5.405578142,18.98,2.15,27.22222222,61.65333333
BGM-2165,7,7,5,7,1,5,4,5,4,4,1,5,1,2,3,3,5,1,1,1,2,1,2,2,7,5,3,1,3,3,1,5,70,16.06,4.88,3.305621814,27.88,1.826666667,24.22222222,63.49333333
BGM-2166,7,7,5,7,2,5,4,5,4,4,1,5,1,2,3,3,5,1,2,1,3,1,2,2,7,5,3,1,3,3,1,5,90,14.88,4.94,3.030470921,29,1.776666667,22.88888889,64.39666667
BGM-2167,9,5,5,5,3,9,4,5,4,3,2,5,0,5,3,3,5,1,1,1,1,0,1,4,7,3,3,1,3,3,1,5,0,14.64,3.74,3.93313139,21.04,1.73,18.22222222,63.14777778
BGM-2168,5,7,5,3,3,6,2,5,4,3,1,5,1,4,3,3,5,1,1,1,2,1,2,2,7,5,1,0,3,3,1,5,90,17,2.44,7.002833688,21.22,1.463333333,26.44444445,50.59555556
BGM-2169,5,2,5,3,3,9,3,3,4,4,1,5,0,5,3,3,5,1,1,1,3,2,2,4,7,3,2,1,3,3,1,5,90,16.02,4.56,3.50963231,21.04,1.813333333,27.55555555,55.82777778
BGM-2170,7,7,5,3,3,9,2,5,4,3,1,3,0,5,3,7,5,1,1,1,2,1,1,2,7,3,3,1,3,3,1,5,90,14.56,3.7,3.960357143,18.36,1.513333333,25.77777778,47.87111111
BGM-2171,7,7,5,3,1,4,3,5,4,2,1,5,1,4,3,7,5,1,1,1,3,2,NA,2,7,3,1,1,3,7,1,5,90,18.34,2.64,6.993908046,20.78,1.766666667,28.66666667,62.94666667
BGM-2172,7,7,5,3,3,9,2,5,4,1,1,5,1,4,3,3,5,1,1,1,2,1,1,1,7,0,3,1,3,3,1,5,90,15.44,2.16,7.182964427,18.74,2.006666667,27.22222222,51.75888889
BGM-2173,7,5,5,3,3,9,2,3,4,1,1,5,1,5,3,7,5,1,1,1,2,1,NA,1,7,0,3,1,4,3,3,5,70,16.66,4.3,3.905830975,21.78,1.623333333,17.66666667,57.44333333
BGM-2174,5,7,5,3,1,3,3,5,4,3,1,5,1,4,3,3,5,1,1,1,2,1,2,2,7,5,1,1,3,3,1,7,90,16,2.38,6.725362319,21.52,1.33,23.88888889,49.22555556
BGM-2175,7,5,5,3,3,9,3,3,4,1,1,5,0,2,3,3,5,1,1,1,1,0,1,1,7,0,2,0,3,3,1,5,0,18.08,5.74,3.145399041,25.78,1.35,21,61.60666667
BGM-2176,3,5,3,3,1,3,4,5,4,3,2,5,1,5,3,3,5,1,2,1,3,3,NA,2,7,5,2,1,3,3,1,7,90,18.26,3.82,4.790582281,20.68,1.873333333,24,57.05333333
BGM-2177,5,5,5,3,3,6,2,3,1,1,1,5,1,9,3,7,5,1,1,1,2,1,NA,1,3,0,2,0,3,3,1,5,70,20.74,2.76,7.543402261,26.98,2.12,18.66666667,68.05333333
BGM-2178,7,7,5,3,1,3,4,5,4,3,2,5,1,5,3,7,5,1,1,1,3,1,NA,2,7,5,2,0,3,3,1,7,70,15.14,2.66,5.698388278,16.32,1.87,22.66666667,61.51
