PLOT ;Ano;Campo;Local;Genotipos-BGM-;Genotipos;Bloco;PRC;PTR;"Peso da parte aerea			|CO_334:0000016";IC;"Altura de planta			|CO_334:0000018";"Altura de planta sem folha			|CO_334:0000125";NMa ;DMC (specific gravimetry);HCN (Lab);PROD-AMD;"Porte de planta			|CO_334:0000099";PRNC;Vigor;"Retencao foliar			|CO_334:0000048";"Numero de raiz			|CO_334:0000011";Peso raiz ;Teor de amido Corrigido;DMC Forno;"HCN-1			|CO_334:0000091";"HCN-2			|CO_334:0000091";"HCN-3			|CO_334:0000091";"HCN-4			|CO_334:0000092";"HCN-5			|CO_334:0000093";"HCN-6			|CO_334:0000094";"HCN-7			|CO_334:0000095";"HCN-8			|CO_334:0000096";"HCN-9			|CO_334:0000097"
-;2014;BAG2;UFRB (Cruz das Almas);BGM-2112;BGM-2112;7;8.68;22.61;8.25;73.28;1.37;-;-;29.02;-;5.51;5;13.93;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
-;2014;BAG2;UFRB (Cruz das Almas);BGM-2113;BGM-2113;7;2.6;8.55;2.86;74.9;1;-;-;30.39;-;2.2;5;5.95;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
-;2014;BAG2;UFRB (Cruz das Almas);BGM-2114;BGM-2114;7;19.88;29.95;8.42;78.05;1.23;-;-;29.15;-;7.34;5;10.07;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
-;2014;BAG2;UFRB (Cruz das Almas);BGM-2115;BGM-2115;7;8.42;15.32;5.43;73.85;1.57;-;-;30.86;-;4.02;5;6.9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
-;2014;BAG2;UFRB (Cruz das Almas);BGM-2117;BGM-2117;7;3.24;11.67;4.21;73.47;1.1;-;-;30.72;-;3.04;5;8.43;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
-;2014;BAG2;UFRB (Cruz das Almas);BGM-2119;BGM-2119;5;17.1;25.87;19.53;56.98;2.1;-;-;30.16;-;6.6;5;8.77;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
-;2014;BAG2;UFRB (Cruz das Almas);BGM-2122;BGM-2122;7;2.6;9.07;3.26;73.59;1;-;-;29.29;-;2.23;5;6.47;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
-;2014;BAG2;UFRB (Cruz das Almas);BGM-2125;BGM-2125;8;3.89;9.43;5.74;62.18;1.5;-;-;37.72;-;3.12;5;5.54;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
-;2014;BAG2;UFRB (Cruz das Almas);BGM-2126;BGM-2126;8;20.9;33.3;14.28;69.99;1.5;-;-;36.31;-;10.54;5;12.4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
-;2014;BAG2;UFRB (Cruz das Almas);BGM-2127;BGM-2127;7;13.06;42.23;20.14;67.71;1.6;-;-;33.01;-;11.98;5;29.17;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
