Acessos;CorFolhaApical;CorPeciolo;CorFolhaDesenv;CorNerv;CorCortexCaule;CorExternaCaule;CorEpidCaule;CorRamosTerm;CorExternaRzs;CorCortexRzs;CorPolpaRzs;NLobulos;Pubescencia;FormaLobuloCentral;PosicaoPeciolo;Sinuosidade;ComprEstip;HabCrescCaule;TipoPlan;MargEstip;HabRamif;NiveisRam;ProemCicatrizesFolhas;FormaRzs;TxtEpidermeRzs;PresPedunculoRzs;PosicaoRzs;Flowering;DestqPelicRz;DestqCortexRz;ConstrRzs;ComprFilotaxia;AnguloRamif;ComprLobulo;LargLobulo;RelComprLar;ComprPeciolo;EspEntreCasca;ComprMedRzs;DiamMedRzs;HCNPic;NR;PA;DRY;DMCsg;PTR;PPA;IC;AP
319;BGM-0320;7;2;5;5;3;9;4;5;4;1;1;5;1;5;5;3;3;1;2;1;3;3;1;1;7;5;3;0;3;5;1;5;110;16.04;4.44;3.612626263;19.8;2.186666667;35.66666667;69.24;6.18753892481935;4.95721254302429;3.42573504900262;5.92340601873858;35.2443052685301;28.600398515277;24.9307092408482;50.4887323955705;2.20235372958775
341;BGM-0360;7;3;5;3;2;8;2;7;2;1;1;3;0;2;7;3;3;1;3;2;2;1;2;3;7;3;2;0;3;7;3;5;80;13.98;4.42;3.170663441;28.3;2.596666667;27.5;65.25888889;6.03831736417309;5.27410193221244;2.95839941388462;6.8331095063222;34.7967421979264;22.4662091886427;26.7323232022864;44.4031749156836;2.00161533341856
345;BGM-0365;9;5;5;5;2;8;2;5;4;2;1;3;1;4;3;7;5;1;4;1;1;0;1;2;7;5;3;0;4;7;1;7;0;8.86;2.3;3.953152709;14.54;1.61;39.66666667;72.64666667;7.77784216764392;3.38473786579058;3.86697805612212;4.47843216928028;33.7759602639639;11.0137409110931;18.2612917123001;45.9001967642475;1.66599412243478
354;BGM-0380;5;3;5;3;2;6;4;3;2;2;3;5;0;5;3;7;5;1;1;1;3;1;2;3;3;3;3;1;3;3;3;5;90;21.52;4.96;4.341221595;25.42;2.18;25.20833333;54.9775;8.09134284347714;3.56363105623032;3.45442608262911;5.17473615153425;36.2978163487879;14.8867009479331;17.934646792202;42.955323340094;1.84369369932783
361;BGM-0390;9;1;5;3;3;8;3;5;3;1;1;5;0;5;3;3;5;1;3;1;1;0;2;2;7;5;2;1;4;3;1;7;0;18.86;4.98;3.784517391;29.58;3.21;29.58333333;67.15111111;4.86690066330896;4.20526075337832;3.33314264644865;5.82566119820662;33.3750677727607;20.0550694257084;22.1277375426517;46.5958124269742;1.89657081484373
379;BGM-0419;7;7;3;5;2;3;2;5;4;4;2;3;0;5;7;3;5;1;2;1;3;3;2;3;7;5;3;1;4;7;1;7;100;15.38;4.28;3.627276856;25.62;2.35665841452208;26.374466558463;58.7035885462208;6.18753892481935;4.03559442651072;3.93246667943954;4.95858527350316;34.7897383592017;15.2360162694748;20.9976394580945;40.7085466393809;2.1347100768407
384;BGM-0424;5;1;5;3;2;6;2;3;2;1;3;5;1;5;3;7;5;1;2;1;3;2;2;2;3;5;3;1;3;3;1;7;110;11.5;3.2;3.599373425;13.42;2.136666667;20.95833333;33.98666667;7.18905182952773;2.87359351164581;3.9062090166345;4.24670947241929;34.6978814533653;10.3521319727171;26.7949291892088;21.9885634358358;2.12163706544214
392;BGM-0436;7;5;3;5;2;6;2;5;4;4;1;5;1;5;3;3;5;1;3;1;3;3;1;2;7;3;3;1;3;5;2;7;80;16.84;4.88;3.460722464;21.3;1.69;37.44444444;46.72555555;6.03173762424985;3.77663791291514;2.72837973738049;5.6134502117456;34.8408476416384;16.5605313729055;16.6260632487148;47.9435718006713;2.04972553418704
420;BGM-0473;7;7;5;7;1;3;4;5;4;4;1;3;1;2;7;3;3;1;2;1;3;3;2;2;7;5;2;1;3;3;2;7;100;12.62;4.7;2.67980253;21.98;2.35665841452208;26.374466558463;58.7035885462208;6.18753892481935;4.03559442651072;4.61921098866581;6.50766595451602;35.8755299836782;21.6468993471337;17.9419300607002;50.1253003469486;1.94294949666378
429;BGM-0492;7;1;5;3;2;6;2;3;2;1;1;5;1;2;3;3;5;1;2;1;3;3;2;4;3;3;3;0;4;3;3;5;90;16.44;4.04;4.063322259;23.32;2.35665841452208;26.374466558463;58.7035885462208;6.18753892481935;4.03559442651072;3.97943792732713;8.61121741595105;37.0920564187998;28.6887112890409;32.2268701537836;44.0328656497679;2.0667173489944
