Acessos;CorFolhaApical;CorPeciolo;CorFolhaDesenv;CorNerv;CorCortexCaule;CorExternaCaule;CorEpidCaule;CorRamosTerm;CorExternaRzs;CorCortexRzs;CorPolpaRzs;NLobulos;Pubescencia;FormaLobuloCentral;PosicaoPeciolo;Sinuosidade;ComprEstip;HabCrescCaule;TipoPlan;MargEstip;HabRamif;NiveisRam;ProemCicatrizesFolhas;FormaRzs;TxtEpidermeRzs;PresPedunculoRzs;PosicaoRzs;Flowering;DestqPelicRz;DestqCortexRz;ConstrRzs;ComprFilotaxia;AnguloRamif;PorteMod;HCNMod;RetFoliar;ComprLobulo;LargLobulo;RelComprLar;ComprPeciolo;EspEntreCasca;ComprMedRzs;DiamMedRzs;NRPl;AltPl;PPA;FRY;FRYC;FRYNC;IndColh;DMCsg
355;BGM-0341;7;1;5;3;3;6;3;3;4;4;1;5;1;5;3;3;5;1;2;1;3;3;2;2;7;5;3;1;3;3;2;5;90;5;3;1.333333333;15.06;4.4;3.432537788;21.08;2.02;26.11111111;52.32555556;3.222222222;2.135714286;29.02642857;18.10071429;15.42083333;5.22375;37.55285714;38.10846154
357;BGM-0343;7;5;3;3;3;6;3;5;4;1;1;3;0;2;3;3;5;1;3;2;2;0;NA;2;7;5;3;0;3;3;3;5;90;5;NA;NA;14.34;3.62;3.969417103;28.56;NA;NA;NA;NA;2.363333333;23.635;26.74833333;22.83833333;3.24;52.92666667;38.78833333
359;BGM-0349;5;3;5;5;3;6;3;5;3;3;1;5;1;5;3;7;5;1;1;1;3;2;2;2;7;5;3;1;4;3;2;5;90;3;3;1.285714286;12.58;4.04;3.117088454;19.38;2.273333333;26.58333333;50.03916667;6.416666667;1.943846154;13.82384615;14.58076923;9.740833333;5.605833333;51.08;32.75846154
370;BGM-0366;5;5;5;3;3;9;3;3;4;1;1;5;0;5;3;7;5;1;1;1;2;1;2;2;7;5;3;0;4;3;2;5;90;5;8;2.142857143;10.1;2.66;3.792060564;12.02;2.966666667;25.08333333;62.0325;3;1.951666667;24.69083333;21.4375;16.00181818;4.557272727;44.89166667;33.84666667
373;BGM-0371;3;7;5;3;3;9;3;5;4;2;1;5;1;5;3;3;5;1;2;1;1;0;1;2;7;3;2;0;4;3;3;5;0;3;NA;2;12.84;2.42;5.386454287;18.22;2.676666667;28.95833333;53.47666667;3.375;1.705;19.943;16.537;9.206666667;6.357777778;47.032;33.403
374;BGM-0374;5;7;5;3;3;9;3;5;4;1;1;5;1;5;7;3;5;1;1;1;2;3;2;2;7;5;3;0;3;3;1;7;80;5;2;1;13.68;3.74;3.665062486;18.92;1.596666667;14;28.92333333;2.333333333;2.300909091;18.12090909;14.85363636;11.744;3.851111111;40.62818182;34.029
378;BGM-0380;5;3;5;3;2;6;4;3;2;2;3;5;0;5;3;7;5;1;1;1;3;1;2;3;3;3;3;1;3;3;3;5;90;3;8;1.571428571;21.52;4.96;4.341221595;25.42;2.18;25.20833333;54.9775;4.416666667;1.771;15.022;12.016;7.942222222;5.014444444;42.57;36.109
382;BGM-0386;3;7;5;5;2;7;1;5;1;1;1;5;1;5;3;7;5;1;1;1;3;1;1;2;3;3;3;0;4;3;3;5;90;1;6;1.714285714;16.04;4.38;3.685203803;26.46;2.583333333;24.75;57.55;4.333333333;2.52;28.85846154;16.54153846;10.95583333;5.7725;35.77923077;35.28076923
383;BGM-0388;5;5;5;3;2;3;3;3;3;1;1;5;0;5;7;3;5;1;2;1;2;3;2;2;7;5;3;0;4;3;2;5;90;5;6;1.2;11.26;3.28;3.444000654;11.28;2.073333333;25.125;61.67166667;3.708333333;1.715;20.565;21.310625;16.53133333;5.115;54.815;33.725625
384;BGM-0389;5;1;5;7;3;9;3;7;4;1;1;5;1;5;3;7;5;1;2;1;1;0;2;2;7;5;3;0;4;3;1;5;0;1;4;2.428571429;13.84;3.18;4.36739771;18.7;2.196666667;30.125;68.4875;5.875;2.64;32.49384615;38.63076923;28.26;11.1475;52.38615385;32.94538462
